path,filename,extension,size_bytes,size_mb,modified_utc,sha256,status,source_scope
Forli_DigitalTwin_v2_6_GCP_Matching/04_QGIS/WORKFLOW_QGIS.txt,WORKFLOW_QGIS.txt,.txt,491,0.0,2026-07-03T22:05:08.663049Z,26e1086e998a3fe4ba7948cb1ad3a0af04ccec9e5a9e0cac4dd1988a78b4ef41,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/00_CTR_GEOTIFF/240093_EPSG25832.tif,240093_EPSG25832.tif,.tif,2668325,2.545,2026-07-03T22:03:15.610362Z,7f42b914f7cdca872429271313237e21137dc87466f6424bf6dba6f405434b47,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/00_CTR_GEOTIFF/240131_EPSG25832.tif,240131_EPSG25832.tif,.tif,3072114,2.93,2026-07-03T22:03:16.661649Z,8c7daf944d584542e79d626277b592ed8c945e5f5c6df0fd6afbdc35c8d95770,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/00_CTR_GEOTIFF/240132_EPSG25832.tif,240132_EPSG25832.tif,.tif,3751928,3.578,2026-07-03T22:03:17.887122Z,188456020259502561e9cc66aba4720f09caaafce7f9bcfb6dd583486c781d36,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/00_CTR_GEOTIFF/240133_EPSG25832.tif,240133_EPSG25832.tif,.tif,3455108,3.295,2026-07-03T22:03:18.993777Z,8b130b7a50e27582387cc492c5920bf29f0259530fce8001c3d1f1cbb0c484a3,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/00_CTR_GEOTIFF/240134_EPSG25832.tif,240134_EPSG25832.tif,.tif,3001058,2.862,2026-07-03T22:03:19.935572Z,dc90e84b306cbcc54f3f0acc03461cafe4ab0a4c5ed75580292600b056e480b2,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/00_CTR_GEOTIFF/240143_EPSG25832.tif,240143_EPSG25832.tif,.tif,2790854,2.662,2026-07-03T22:03:20.816783Z,a5cb875bda6b843f5a8089a3a7b9efcd3167ee5bd396a572c8190ff03bddf4cf,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/00_CTR_GEOTIFF/240144_EPSG25832.tif,240144_EPSG25832.tif,.tif,2576212,2.457,2026-07-03T22:03:21.626809Z,3827bd707a98880880a17a0e018e3be468c001da79efae3c5fa60107b73fad0b,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/01_CTR_MOSAIC/CTR_tile_index_EPSG25832.geojson,CTR_tile_index_EPSG25832.geojson,.geojson,4839,0.005,2026-07-03T22:03:21.638275Z,4efe131c0fb410408aa33472b510522506c27dd96d75af0cd7426d3f1b7a8f27,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/01_CTR_MOSAIC/CTR_7tiles_EPSG25832.vrt,CTR_7tiles_EPSG25832.vrt,.vrt,2114,0.002,2026-07-03T22:03:21.638931Z,8b98cd276c146212d52d53613d0f172f62f563740e94c4ab25a2c1ca8a4ea4fa,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/02_HISTORICAL/CT_FO004_042.jpg,CT_FO004_042.jpg,.jpg,920245,0.878,2026-07-03T22:01:27.219519Z,bddc9c2dbe2085e2a4b95d679cd8812e125ec770038ba9db4097732ec2e98e8b,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/02_HISTORICAL/01CT_FO004_043.jpg,01CT_FO004_043.jpg,.jpg,865848,0.826,2026-07-03T22:01:27.127516Z,0cd7cd8db4140595c056c4ef52245b08db5f0e5101fea40d71430875f77a6d31,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/02_HISTORICAL/CT_FO004_044.jpg,CT_FO004_044.jpg,.jpg,883289,0.842,2026-07-03T22:01:27.147693Z,51c0c5354db334096fa48f686fb3655872bb2841c87b89d2613da1a89c8a1df8,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/02_HISTORICAL/CT_FO004_045.jpg,CT_FO004_045.jpg,.jpg,958946,0.915,2026-07-03T22:01:27.160880Z,3e8ebeef6325d7394d36c1fb2894796877fb13825531630db4175572af4e4d33,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/04_REPORT/report_v2_5.md,report_v2_5.md,.md,569,0.001,2026-07-03T22:03:21.646395Z,f0c9046f0b8b5b3bd5f82f7c04be2ed7e50984ba96526caa6c199db86241f5f3,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_5_CTR_GCP/04_REPORT/ctr_metadata.json,ctr_metadata.json,.json,2039,0.002,2026-07-03T22:03:21.646607Z,f22d6025d3a534720bd2a2426e08e8c8a38e0abae25fe857268aac860901c75d,GENERATED,CURRENT_RUNTIME
user-9UOdI8GGonQNAYV9mCSYluG1/c3b0a95c5e484f52952635640d721943/mnt/data/forli_grid_preview.jpg,forli_grid_preview.jpg,.jpg,699347,0.667,2026-07-03T22:20:25.859574Z,d0e29830deadf3bd83646971d45d1f221059bc36b190f81f9690e5fcc4ed5e04,REVIEW_REQUIRED,CURRENT_RUNTIME
